name,Motion,Axis-X,Axis-Y,Axis-Z
HeadYaw,Head joint twist (Z),0,0,1
HeadPitch,Head joint front and back (Y),0,1,0
LShoulderPitch,Left shoulder joint front and back (Y),0,1,0
LShoulderRoll,Left shoulder joint right and left (Z),0,0,1
LElbowYaw,Left shoulder joint twist (X),1,0,0
LElbowRoll,Left elbow joint (Z),0,0,1
LWristYaw,Left wrist joint (X),1,0,0
RShoulderPitch,Right shoulder joint front and back (Y),0,1,0
RShoulderRoll,Right shoulder joint right and left (Z),0,0,1
RElbowYaw,Right shoulder joint twist (X),1,0,0
RElbowRoll,Right elbow joint (Z),0,0,1
RWristYaw,Right wrist joint (X),1,0,0
LHipYawPitch,Left hip joint twist (Y-Z 45°),0,0.707106781186,-0.707106781186
RHipYawPitch,Right hip joint twist (Y-Z 45°),0,0.707106781186,0.707106781186
LHipRoll,Left hip joint right and left (X),1,0,0
LHipPitch,Left hip joint front and back (Y),0,1,0
LKneePitch,Left knee joint (Y),0,1,0
LAnklePitch,Left ankle joint front and back (Y),0,1,0
LAnkleRoll,Left ankle joint right and left (X),1,0,0
RHipRoll,Right hip joint right and left (X),1,0,0
RHipPitch,Right hip joint front and back (Y),0,1,0
RKneePitch,Right knee joint (Y),0,1,0
RAnklePitch,Right ankle joint front and back (Y),0,1,0
RAnkleRoll,Right ankle joint right and left (X),1,0,0
Torso,,0,0,0
LHand,末端执行器，不旋转,0,0,0
RHand,末端执行器，不旋转,0,0,0